"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"New Hampshire","33","2011","2011",212,1318194,16.083
,"New Hampshire","33","2012","2012",177,1320718,13.402
,"New Hampshire","33","2013","2013",217,1323459,16.396
,"New Hampshire","33","2014","2014",348,1326813,26.228
,"New Hampshire","33","2015","2015",433,1330608,32.542
,"New Hampshire","33","2016","2016",495,1334795,37.084
,"New Hampshire","33","2017","2017",479,1342795,35.672
,"New Hampshire","33","2018","2018",472,1356458,34.797
"Total","New Hampshire","33",,,4370,26074106,16.760
,"New Jersey","34","1999","1999",757,8359592,9.055
,"New Jersey","34","2000","2000",795,8414350,9.448
,"New Jersey","34","2001","2001",796,8492671,9.373
,"New Jersey","34","2002","2002",885,8552643,10.348
,"New Jersey","34","2003","2003",792,8601402,9.208
,"New Jersey","34","2004","2004",711,8634561,8.234
,"New Jersey","34","2005","2005",966,8651974,11.165
,"New Jersey","34","2006","2006",1009,8661679,11.649
,"New Jersey","34","2007","2007",797,8677885,9.184
,"New Jersey","34","2008","2008",808,8711090,9.276
,"New Jersey","34","2009","2009",343,8755602,3.917
,"New Jersey","34","2010","2010",903,8791894,10.271
,"New Jersey","34","2011","2011",1042,8821155,11.813
,"New Jersey","34","2012","2012",1268,8864590,14.304
,"New Jersey","34","2013","2013",1331,8899339,14.956
,"New Jersey","34","2014","2014",1303,8938175,14.578
,"New Jersey","34","2015","2015",1506,8958013,16.812
,"New Jersey","34","2016","2016",2132,8944469,23.836
,"New Jersey","34","2017","2017",2752,9005644,30.559
,"New Jersey","34","2018","2018",2980,8908520,33.451
"Total","New Jersey","34",,,23876,174645248,13.671
,"New Mexico","35","1999","1999",275,1808082,15.209
,"New Mexico","35","2000","2000",281,1819046,15.448
,"New Mexico","35","2001","2001",277,1831690,15.123
,"New Mexico","35","2002","2002",301,1855309,16.224
,"New Mexico","35","2003","2003",373,1877574,19.866
,"New Mexico","35","2004","2004",331,1903808,17.386
,"New Mexico","35","2005","2005",385,1932274,19.925
,"New Mexico","35","2006","2006",435,1962137,22.170
,"New Mexico","35","2007","2007",471,1990070,23.668
,"New Mexico","35","2008","2008",534,2010662,26.558
,"New Mexico","35","2009","2009",447,2036802,21.946
,"New Mexico","35","2010","2010",487,2059179,23.650
,"New Mexico","35","2011","2011",537,2082224,25.790
,"New Mexico","35","2012","2012",502,2085538,24.071
,"New Mexico","35","2013","2013",471,2085287,22.587
,"New Mexico","35","2014","2014",559,2085572,26.803
,"New Mexico","35","2015","2015",516,2085109,24.747
,"New Mexico","35","2016","2016",525,2081015,25.228
,"New Mexico","35","2017","2017",515,2088070,24.664
,"New Mexico","35","2018","2018",562,2095428,26.820
"Total","New Mexico","35",,,8784,39774876,22.084
,"New York","36","1999","1999",1102,18882725,5.836
,"New York","36","2000","2000",901,18976457,4.748
,"New York","36","2001","2001",1280,19082838,6.708
,"New York","36","2002","2002",1118,19137800,5.842
,"New York","36","2003","2003",1209,19175939,6.305
,"New York","36","2004","2004",1068,19171567,5.571
,"New York","36","2005","2005",1175,19132610,6.141
,"New York","36","2006","2006",1949,19104631,10.202
,"New York","36","2007","2007",1909,19132335,9.978
,"New York","36","2008","2008",1856,19212436,9.660
,"New York","36","2009","2009",1797,19307066,9.307
,"New York","36","2010","2010",1760,19378102,9.082
,"New York","36","2011","2011",2149,19465197,11.040
,"New York","36","2012","2012",2262,19570261,11.558
,"New York","36","2013","2013",2483,19651127,12.635
,"New York","36","2014","2014",2510,19746227,12.711
,"New York","36","2015","2015",3009,19795791,15.200
,"New York","36","2016","2016",3894,19745289,19.721
,"New York","36","2017","2017",4117,19849399,20.741
,"New York","36","2018","2018",3904,19542209,19.977
"Total","New York","36",,,41452,387060006,10.709
,"North Carolina","37","1999","1999",401,7949361,5.044
,"North Carolina","37","2000","2000",531,8049313,6.597
,"North Carolina","37","2001","2001",584,8210122,7.113
,"North Carolina","37","2002","2002",684,8326201,8.215
,"North Carolina","37","2003","2003",833,8422501,9.890
,"North Carolina","37","2004","2004",918,8553152,10.733
,"North Carolina","37","2005","2005",1061,8705407,12.188
,"North Carolina","37","2006","2006",1120,8917270,12.560
,"North Carolina","37","2007","2007",1125,9118037,12.338
,"North Carolina","37","2008","2008",1217,9309449,13.073
,"North Carolina","37","2009","2009",1223,9449566,12.942
,"North Carolina","37","2010","2010",1125,9535483,11.798
,"North Carolina","37","2011","2011",1303,9656401,13.494
,"North Carolina","37","2012","2012",1346,9752073,13.802
,"North Carolina","37","2013","2013",1308,9848060,13.282
,"North Carolina","37","2014","2014",1435,9943964,14.431
,"North Carolina","37","2015","2015",1636,10042802,16.290
,"North Carolina","37","2016","2016",2040,10146788,20.105
,"North Carolina","37","2017","2017",2515,10273419,24.481
