payor_plan_id,payor_plan,payor_plan_var
7000360229,ADVANCEPCS PLAN 0229,
7000360233,ADVANCEPCS PLAN 0233,
7000360234,ADVANCEPCS PLAN 0234,
7000360240,ADVANCEPCS PLAN 0240,
7000360241,ADVANCEPCS PLAN 0241,
7000360242,ADVANCEPCS PLAN 0242,
7000360243,ADVANCEPCS PLAN 0243,
7000360245,ADVANCEPCS PLAN 0245,
7000360246,ADVANCEPCS PLAN 0246,
7000360249,ADVANCEPCS PLAN 0249,
7000360250,ADVANCEPCS PLAN 0250,
7000360252,ADVANCEPCS PLAN 0252,
7000360253,ADVANCEPCS PLAN 0253,
7000360256,ADVANCEPCS PLAN 0256,
7000360257,ADVANCEPCS PLAN 0257,
7000360258,ADVANCEPCS PLAN 0258,
7000360260,ADVANCEPCS PLAN 0260,
7000360262,ADVANCEPCS PLAN 0262,
7000360267,ADVANCEPCS PLAN 0267,
7000360269,ADVANCEPCS PLAN 0269,
7000360271,ADVANCEPCS PLAN 0271,
7000360272,ADVANCEPCS PLAN 0272,
7000360273,ADVANCEPCS PLAN 0273,
7000360274,ADVANCEPCS PLAN 0274,
7000360275,ADVANCEPCS PLAN 0275,
7000360279,ADVANCEPCS PLAN 0279,
7000360280,ADVANCEPCS PLAN 0280,
7000360281,ADVANCEPCS PLAN 0281,
7000360282,ADVANCEPCS PLAN 0282,
7000360283,ADVANCEPCS PLAN 0283,
7000360284,ADVANCEPCS PLAN 0284,
7000360287,ADVANCEPCS PLAN 0287,
7000360288,ADVANCEPCS PLAN 0288,
7000360289,ADVANCEPCS PLAN 0289,
7000360292,ADVANCEPCS PLAN 0292,
7000360293,ADVANCEPCS PLAN 0293,
7000360294,ADVANCEPCS PLAN 0294,
7000360299,ADVANCEPCS PLAN 0299,
7000360301,ADVANCEPCS PLAN 0301,
7000360302,ADVANCEPCS PLAN 0302,
7000360305,ADVANCEPCS PLAN 0305,
7000360307,ADVANCEPCS PLAN 0307,
7000360310,ADVANCEPCS PLAN 0310,
7000360312,ADVANCEPCS PLAN 0312,
7000360314,ADVANCEPCS PLAN 0314,
7000360315,ADVANCEPCS PLAN 0315,
7000360317,ADVANCEPCS PLAN 0317,
7000360318,ADVANCEPCS PLAN 0318,
7000360321,ADVANCEPCS PLAN 0321,
7000360322,ADVANCEPCS PLAN 0322,
7000360324,ADVANCEPCS PLAN 0324,
7000360326,ADVANCEPCS PLAN 0326,
7000360327,ADVANCEPCS PLAN 0327,
7000360331,ADVANCEPCS PLAN 0331,
7000360335,ADVANCEPCS PLAN 0335,
7000360337,ADVANCEPCS PLAN 0337,
7000360340,ADVANCEPCS PLAN 0340,
7000360347,ADVANCEPCS PLAN 0347,
7000360349,ADVANCEPCS PLAN 0349,
7000360350,ADVANCEPCS PLAN 0350,
7000360353,ADVANCEPCS PLAN 0353,
7000360354,ADVANCEPCS PLAN 0354,
7000360355,ADVANCEPCS PLAN 0355,
7000360356,ADVANCEPCS PLAN 0356,
7000360357,ADVANCEPCS PLAN 0357,
7000360358,ADVANCEPCS PLAN 0358,
7000360359,ADVANCEPCS PLAN 0359,
7000360362,ADVANCEPCS PLAN 0362,
7000360363,ADVANCEPCS PLAN 0363,
7000360365,ADVANCEPCS PLAN 0365,
7000360368,ADVANCEPCS PLAN 0368,
7000360370,ADVANCEPCS PLAN 0370,
7000360376,ADVANCEPCS PLAN 0376,
7000360384,ADVANCEPCS PLAN 0384,
7000360385,ADVANCEPCS PLAN 0385,
7000360393,ADVANCEPCS PLAN 0393,
7000360394,ADVANCEPCS PLAN 0394,
7000360395,ADVANCEPCS PLAN 0395,
7000360399,ADVANCEPCS PLAN 0399,
7000360402,ADVANCEPCS PLAN 0402,
7000360403,ADVANCEPCS PLAN 0403,
7000360406,ADVANCEPCS PLAN 0406,
7000360410,ADVANCEPCS PLAN 0410,
7000360412,ADVANCEPCS PLAN 0412,
7000360415,ADVANCEPCS PLAN 0415,
7000360418,ADVANCEPCS PLAN 0418,
7000360425,ADVANCEPCS PLAN 0425,
7000360426,ADVANCEPCS PLAN 0426,
7000360427,ADVANCEPCS PLAN 0427,
7000360428,ADVANCEPCS PLAN 0428,
7000360430,ADVANCEPCS PLAN 0430,
7000360433,ADVANCEPCS PLAN 0433,
7000360454,ADVANCEPCS PLAN 0454,
7000360455,ADVANCEPCS PLAN 0455,
7000360457,ADVANCEPCS PLAN 0457,
7000360459,ADVANCEPCS PLAN 0459,
7000360468,ADVANCEPCS PLAN 0468,
7000360471,ADVANCEPCS PLAN 0471,
7000360472,ADVANCEPCS PLAN 0472,
7000360474,ADVANCEPCS PLAN 0474,
7000360476,ADVANCEPCS PLAN 0476,
7000360478,ADVANCEPCS PLAN 0478,
7000360479,ADVANCEPCS PLAN 0479,
7000360500,ADVANCEPCS PLAN 0500,
7000360508,ADVANCEPCS PLAN 0508,
7000360509,ADVANCEPCS PLAN 0509,
7000360524,ADVANCEPCS PLAN 0524,
7000360542,ADVANCEPCS PLAN 0542,
7000360543,ADVANCEPCS PLAN 0543,
7000360546,ADVANCEPCS PLAN 0546,
7000360549,ADVANCEPCS PLAN 0549,
7000360551,ADVANCEPCS PLAN 0551,
7000360561,ADVANCEPCS PLAN 0561,
7000360572,ADVANCEPCS PLAN 0572,
7000360575,ADVANCEPCS PLAN 0575,
7000360579,ADVANCEPCS PLAN 0579,
7000360583,ADVANCEPCS PLAN 0583,
7000360590,ADVANCEPCS PLAN 0590,
7000360592,ADVANCEPCS PLAN 0592,
7000360596,ADVANCEPCS PLAN 0596,
7000360597,ADVANCEPCS PLAN 0597,
7000360602,ADVANCEPCS PLAN 0602,
7000360611,ADVANCEPCS PLAN 0611,
7000360618,ADVANCEPCS PLAN 0618,
7000360620,ADVANCEPCS PLAN 0620,
7000360633,ADVANCEPCS PLAN 0633,
7000360634,ADVANCEPCS PLAN 0634,
7000360635,ADVANCEPCS PLAN 0635,
7000360639,ADVANCEPCS PLAN 0639,
7000360645,ADVANCEPCS PLAN 0645,
7000360647,ADVANCEPCS PLAN 0647,
7000360648,ADVANCEPCS PLAN 0648,
7000360649,ADVANCEPCS PLAN 0649,
7000360653,ADVANCEPCS PLAN 0653,
7000360660,ADVANCEPCS PLAN 0660,
7000360664,ADVANCEPCS PLAN 0664,
7000360677,ADVANCEPCS PLAN 0677,
7000360680,ADVANCEPCS PLAN 0680,
7000360685,ADVANCEPCS PLAN 0685,
7000360687,ADVANCEPCS PLAN 0687,
7000360694,ADVANCEPCS PLAN 0694,
7000360696,ADVANCEPCS PLAN 0696,
7000360698,ADVANCEPCS PLAN 0698,
7000360699,ADVANCEPCS PLAN 0699,
7000360701,ADVANCEPCS PLAN 0701,
7000360735,ADVANCEPCS PLAN 0735,
7000360740,ADVANCEPCS PLAN 0740,
7000360788,ADVANCEPCS PLAN 0788,
7000360790,ADVANCEPCS PLAN 0790,
7000360805,ADVANCEPCS PLAN 0805,
7000360809,ADVANCEPCS PLAN 0809,
7000360810,ADVANCEPCS PLAN 0810,
7000360864,ADVANCEPCS PLAN 0864,
7000360868,ADVANCEPCS PLAN 0868,
7000360895,ADVANCEPCS PLAN 0895,
7000360911,ADVANCEPCS PLAN 0911,
7000360919,ADVANCEPCS PLAN 0919,
7000360928,ADVANCEPCS PLAN 0928,
7000360935,ADVANCEPCS PLAN 0935,
